genome_ID	OTU	NCBI_ID	novelty_category
genome1	1	10630	Known_strain
genome2	2	97344	Known_strain
genome3	3	268785	Known_strain
genome4	4	256548	Known_strain
genome5	5	172296	Known_strain
genome6	6	11803	Known_strain
genome7	7	363745	Known_strain
genome8	8	106333	Known_strain
genome9	9	11290	Known_strain
genome10	10	11577	Known_strain
genome11	11	159122	Known_strain
genome12	12	11553	Known_strain
genome13	13	291590	Known_strain
genome14	14	652105	Known_strain
genome15	15	10616	Known_strain
genome16	16	10584	Known_strain
genome17	17	32612	Known_strain
genome18	18	28311	Known_strain
genome19	19	322067	Known_strain
genome20	20	12032	Known_strain
genome21	21	10568	Known_strain
genome22	22	649596	Known_strain
genome23	23	113377	Known_strain
genome24	24	398066	Known_strain
genome25	25	434309	Known_strain
genome26	26	439015	Known_strain
genome27	27	508750	Known_strain
genome28	28	11152	Known_strain
genome29	29	569195	Known_strain
genome30	30	526413	Known_strain
genome31	31	666363	Known_strain
genome32	32	10510	Known_strain
genome33	33	45370	Known_strain
genome34	34	797418	Known_strain
genome35	35	40064	Known_strain
genome36	36	763552	Known_strain
genome37	37	1461100	Known_strain
genome38	38	884200	Known_strain
genome39	39	68347	Known_strain
genome40	40	1174530	Known_strain
genome41	41	940834	Known_strain
genome42	42	1193422	Known_strain
genome43	43	992212	Known_strain
genome44	44	1104917	Known_strain
genome45	45	28274	Known_strain
genome46	46	673515	Known_strain
genome47	47	1404345	Known_strain
genome48	48	1352235	Known_strain
genome49	49	10489	Known_strain
genome50	50	1303019	Known_strain
genome51	51	1472911	Known_strain
genome52	52	1216928	Known_strain
genome53	53	1495866	Known_strain
genome54	54	1534545	Known_strain
genome55	55	198833	Known_strain
genome56	56	1046251	Known_strain
genome57	57	798073	Known_strain
genome58	58	1479613	Known_strain
genome59	59	1572239	Known_strain
genome60	60	165250	Known_strain
genome61	61	1658615	Known_strain
genome62	62	494651	Known_strain
genome63	63	1707330	Known_strain
genome64	64	206156	Known_strain
genome65	65	1788433	Known_strain
genome66	66	1737586	Known_strain
genome67	67	1843757	Known_strain
genome68	68	1843742	Known_strain
genome69	69	1608068	Known_strain
genome70	70	1608091	Known_strain
genome71	71	1608058	Known_strain
genome72	72	1922884	Known_strain
genome73	73	1923510	Known_strain
genome74	74	1923187	Known_strain
genome75	75	1923772	Known_strain
genome76	76	904722	Known_strain
genome77	77	1926501	Known_strain
genome78	78	248053	Known_strain
genome79	79	660955	Known_strain
genome80	80	318845	Known_strain
genome81	81	1272946	Known_strain
genome82	82	1715293	Known_strain
